3M                                    94 MAPLEWOOD          MN5514491584  
ELI LILLY                             132INDIANAPOLIS       IN4628541975  
EMCOR GROUP                           360NORWALK            CT6851 31000  
EMERSON ELECTRIC                      139SAINT LOUIS        MO63136103500 
ENERGY TRANSFER EQUITY                79 DALLAS             TX7522530992  
ENTERGY                               263NEW ORLEANS        LA7011313513  
ENTERPRISE PRODUCTS PARTNERS          122HOUSTON            TX770026800   
EOG RESOURCES                         356HOUSTON            TX770022650   
ERIE INSURANCE GROUP                  382ERIE               PA165304988   
ESSENDANT                             487DEERFIELD          IL600156600   
ESTEE LAUDER                          253NEW YORK           NY1015346000  
EVERSOURCE ENERGY                     358SPRINGFIELD        MA1104 7762   
EXELON                                89 CHICAGO            IL6060334396  
EXPEDIA                               317BELLEVUE           WA9800420075  
EXPEDITORS INTERNATIONAL OF WASHINGTON429SEATTLE            WA9810416000  
EXPRESS SCRIPTS HOLDING               22 SAINT LOUIS        MO6312125600  
EXXON MOBIL                           4  IRVING             TX7503972700  
FACEBOOK                              98 MENLO PARK         CA9402517048  
FANNIE MAE                            20 WASHINGTON         DC200167000   
FARMERS INSURANCE EXCHANGE            222LOS ANGELES        CA9001013309  
FEDEX                                 58 MEMPHIS            TN38120335767 
FIDELITY NATIONAL FINANCIAL           293JACKSONVILLE       FL3220455219  
FIDELITY NATIONAL INFORMATION SERVICES301JACKSONVILLE       FL3220455000  
FIFTH THIRD BANCORP                   389CINCINNATI         OH4526317844  
FIRST AMERICAN FINANCIAL              464SANTA ANA          CA9270719531  
FIRST DATA                            242ATLANTA            GA3034224000  
FIRSTENERGY                           196AKRON              OH4430815707  
FISERV                                471BROOKFIELD         WI5340523000  
FLUOR                                 149IRVING             TX7503961551  
FOOT LOCKER                           348NEW YORK           NY1012032965  
FORD MOTOR                            10 DEARBORN           MI48126201000 
FRANKLIN RESOURCES                    405SAN MATEO          CA944039059   
FREDDIE MAC                           39 MCLEAN             VA221025982   
FREEPORT-MCMORAN                      175PHOENIX            AZ8500430000  
FRONTIER COMMUNICATIONS               313NORWALK            CT6851 28332  
GAMESTOP                              321GRAPEVINE          TX7605141750  
GAP                                   178SAN FRANCISCO      CA94105135000 
GENERAL DYNAMICS                      90 FALLS CHURCH       VA2204298800  
GENERAL ELECTRIC                      13 FAIRFIELD          CT6828 295000 
GENERAL MILLS                         165MINNEAPOLIS        MN5542639000  
GENERAL MOTORS                        8  DETROIT            MI48265225000 
GENESIS HEALTHCARE                    454KENNETT SQUARE     PA1934882000  
GENUINE PARTS                         180ATLANTA            GA3033940000  
GENWORTH FINANCIAL                    329RICHMOND           VA232303400   
GILEAD SCIENCES                       92 FOSTER CITY        CA944049000   
GLOBAL PARTNERS                       334WALTHAM            MA2453 1770   
GOLDMAN SACHS GROUP                   78 NEW YORK           NY1028234400  
GOODYEAR TIRE & RUBBER                184AKRON              OH4431666000  
GRAYBAR ELECTRIC                      420SAINT LOUIS        MO631058500   
GROUP 1 AUTOMOTIVE                    261HOUSTON            TX7702413500  
GUARDIAN LIFE INS. CO. OF AMERICA     218NEW YORK           NY100048876   
HALLIBURTON                           173HOUSTON            TX7703250000  
HANESBRANDS                           432WINSTON-SALEM      NC2710567800  
HARLEY-DAVIDSON                       435MILWAUKEE          WI532086000   
HARMAN INTERNATIONAL INDUSTRIES       386STAMFORD           CT6901 26000  
HARRIS                                363MELBOURNE          FL3291921000  
HARTFORD FINANCIAL SERVICES GROUP     153HARTFORD           CT6155 16900  
HCA HOLDINGS                          63 NASHVILLE          TN37203210500 
HD SUPPLY HOLDINGS                    364ATLANTA            GA3033914000  
HENRY SCHEIN                          243MELVILLE           NY1174721000  
HERSHEY                               369HERSHEY            PA1703317140  
HERTZ GLOBAL HOLDINGS                 296ESTERO             FL3392836000  
